0,4,Photography,Vehicles,Cosmetics,11.684154591657158,10.3292796680971
1,3,Television programme,TV chat shows,Restaurants,8.561479263358851,8.484261537042373
2,6,Music,Television programme,TV chat shows,16.011591404429808,4.762311523189798
3,5,Films,Family,Vehicles,16.84825727426969,14.877557622887682
4,3,Music,Television programme,TV chat shows,8.561289441720842,28.473087338147508
5,4,Games,Television programme,Restaurants,13.225668149430202,6.393748717551578
6,4,Television programme,Restaurants,Coffeehouses,7.227620536506532,6.845551401011138
7,4,Television programme,TV chat shows,Restaurants,22.366304415347052,5.889434387231422
8,5,Television programme,TV chat shows,Travel,10.35492549790519,6.9071973687838835
9,4,Restaurants,Coffeehouses,Diners,4.675996124274176,17.79583887997701
